object,action,effect_sentence_1,effect_sentence_2,effect_sentence_3,effect_sentence_4,label
potato,peel,the object is heated so it can be eaten,the object has its outer skin removed,outside brown layer of object is taken off leaving only the white inside,the ball is now metres from the starting spot,2
potato,peel,the object has its outer skin removed,the object is heated so it can be eaten,the object has its skin removed,the ball is now metres from the starting spot,2
potato,peel,the object has its outer skin removed,the ball is now metres from the starting spot,the object is heated so it can be eaten,putting the object over the sink with a peeling instrument,3
books,pile,the objects become stacked on top of one another into a tower,a object has been cut down the middle,stack the object together in a group,a object has been cut down the middle,0
books,pile,a object has been cut down the middle,stack the object together in a group,a object has been cut down the middle,the objects are stacked atop one another,3
books,pile,a object has been cut down the middle,the objects were stacked upon each other and almost touched the roof,a object has been cut down the middle,stack the object together in a group,1
books,pile,the objects are taken and placed in a large stack,a object has been cut down the middle,stack the object together in a group,a object has been cut down the middle,0
books,pile,stack the object together in a group,the objects go from being in disarray to being in an orderly stack,a object has been cut down the middle,a object has been cut down the middle,1
books,pile,stack the object together in a group,the objects are placed on top of each other in a stack,a object has been cut down the middle,a object has been cut down the middle,1
books,pile,the objects will be in a pile,stack the object together in a group,a object has been cut down the middle,a object has been cut down the middle,0
books,pile,a object has been cut down the middle,a object has been cut down the middle,the objects are stacked one on top of the other,stack the object together in a group,2
baseball,pitch,the object is made into smaller parts,the object is made into smaller parts,the ball is projected into the air and lands metres away,the object flies in the air,3
baseball,pitch,the object is made into smaller parts,the object is thrown through the air towards the hitter,the ball is projected into the air and lands metres away,the object is made into smaller parts,1
baseball,pitch,the object is going over the fence,the object is made into smaller parts,the object is made into smaller parts,the ball is projected into the air and lands metres away,0
baseball,pitch,the object is soaring through the air,the object is made into smaller parts,the ball is projected into the air and lands metres away,the object is made into smaller parts,0
baseball,pitch,the object is made into smaller parts,the ball is projected into the air and lands metres away,the object is thrown toward a bat,the object is made into smaller parts,2
baseball,pitch,the object is made into smaller parts,the ball is projected into the air and lands metres away,the object is made into smaller parts,the pitch object is throwing toward home plate,3
baseball,pitch,the object is thrown from the pitcher to the catcher,the object is made into smaller parts,the object is made into smaller parts,the ball is projected into the air and lands metres away,0
bicycle,ride,the objects will be in a pile,the object has a person it,the objects will be in a pile,the objects will be in a pile,1
bicycle,ride,a person sits on a object and makes it move,the objects will be in a pile,the objects will be in a pile,the objects will be in a pile,0
bicycle,ride,you can ride the object to the market,the objects will be in a pile,the objects will be in a pile,the objects will be in a pile,0
bicycle,ride,the objects will be in a pile,the objects will be in a pile,the objects will be in a pile,the object is being peddled,3
bicycle,ride,the objects will be in a pile,the objects will be in a pile,the objects will be in a pile,the object is being pedaled,3
bicycle,ride,the objects will be in a pile,a person pedals a bike to move it,the objects will be in a pile,the objects will be in a pile,1
bicycle,ride,the objects will be in a pile,a object is ridden as transportation,the objects will be in a pile,the objects will be in a pile,1
bicycle,ride,the objects will be in a pile,the objects will be in a pile,the objects will be in a pile,the object is propelled through the streets,3
paper,rip,the object is torn,a person squeezes on a object and the contents squirt out,the object is now divided into two separate sides,a person squeezes on a object and the contents squirt out,0
paper,rip,the object has jagged edges,a person squeezes on a object and the contents squirt out,a person squeezes on a object and the contents squirt out,the object is now divided into two separate sides,0
paper,rip,object is torn into shreds,a person squeezes on a object and the contents squirt out,a person squeezes on a object and the contents squirt out,the object is now divided into two separate sides,0
paper,rip,the object is now divided into two separate sides,a person squeezes on a object and the contents squirt out,the object is randomly divided in torn parts,a person squeezes on a object and the contents squirt out,2
paper,rip,the object is now divided into two separate sides,a person squeezes on a object and the contents squirt out,a person squeezes on a object and the contents squirt out,the object is torn into smaller pieces,3
paper,rip,a person squeezes on a object and the contents squirt out,a person squeezes on a object and the contents squirt out,the object is now divided into two separate sides,the object is torn into smaller pieces,3
paper,rip,the object is now divided into two separate sides,object is being torn,a person squeezes on a object and the contents squirt out,a person squeezes on a object and the contents squirt out,1
paper,rip,the object is made into smaller pieces,the object is now divided into two separate sides,a person squeezes on a object and the contents squirt out,a person squeezes on a object and the contents squirt out,0
umbrella,roll,the object goes from being small in size to large,the contents of the object are extracted,the object will become smaller,the contents of the object are extracted,2
umbrella,roll,the object goes from being small in size to large,the contents of the object are extracted,the object was folded into a smaller size,the contents of the object are extracted,2
umbrella,roll,the object goes from being small in size to large,the contents of the object are extracted,the contents of the object are extracted,the object is changed from it open position to the closed position to take up less space,3
umbrella,roll,the contents of the object are extracted,the contents of the object are extracted,the object goes from being small in size to large,the object changes from being open to closed,3
umbrella,roll,the object is closed and can no longer protect it user from the rain,the object goes from being small in size to large,the contents of the object are extracted,the contents of the object are extracted,0
umbrella,roll,the object is closed and maneuvered into a sealed position,the contents of the object are extracted,the object goes from being small in size to large,the contents of the object are extracted,0
umbrella,roll,the contents of the object are extracted,the object goes from being small in size to large,the contents of the object are extracted,an object is folded up after use,3
umbrella,roll,the object goes from being small in size to large,an open object is arranged so it is no longer open,the contents of the object are extracted,the contents of the object are extracted,1
umbrella,roll,the object goes from being small in size to large,to open it up ready for use,the contents of the object are extracted,the contents of the object are extracted,1
wood,saw,object becomes a charred remain devoid of life,the object loses it original shape and ends up as logs,object becomes a charred remain devoid of life,many object pieces are randomly arranged one over another to form a pile,1
wood,saw,object becomes a charred remain devoid of life,many object pieces are randomly arranged one over another to form a pile,the object is cut into smaller pieces,object becomes a charred remain devoid of life,2
wood,saw,many object pieces are randomly arranged one over another to form a pile,the object becomes separated into smaller pieces,object becomes a charred remain devoid of life,object becomes a charred remain devoid of life,1
wood,saw,object becomes a charred remain devoid of life,object becomes a charred remain devoid of life,many object pieces are randomly arranged one over another to form a pile,the object is cut down into smaller pieces,3
wood,saw,object becomes a charred remain devoid of life,to make a cut in the object,many object pieces are randomly arranged one over another to form a pile,object becomes a charred remain devoid of life,1
wood,saw,object becomes a charred remain devoid of life,object becomes a charred remain devoid of life,the object becomes many smaller piecea of object,many object pieces are randomly arranged one over another to form a pile,2
wood,saw,many object pieces are randomly arranged one over another to form a pile,object becomes a charred remain devoid of life,the object was divided by the to and fro action of a saw,object becomes a charred remain devoid of life,2
wood,saw,object becomes a charred remain devoid of life,a large round piece of object is separated into smaller pieces by a tool,object becomes a charred remain devoid of life,many object pieces are randomly arranged one over another to form a pile,1
car,scratch,a object is dropped into a dirty bucket,i pay you to get your object fixed,the object is wrecked and he is in jail,a object is dropped into a dirty bucket,1
car,scratch,a object is dropped into a dirty bucket,the object is wrecked and he is in jail,a object is dropped into a dirty bucket,the object surface has been damaged leaving a sobject,3
car,scratch,the object is wrecked and he is in jail,a object is dropped into a dirty bucket,the object has a small mark caused by damage to the paint,a object is dropped into a dirty bucket,2
car,scratch,the object was scratched,a object is dropped into a dirty bucket,a object is dropped into a dirty bucket,the object is wrecked and he is in jail,0
car,scratch,a object is dropped into a dirty bucket,the object is wrecked and he is in jail,the object has visible scratches in it and needs repair,a object is dropped into a dirty bucket,2
car,scratch,a object is dropped into a dirty bucket,a object is dropped into a dirty bucket,the object had scratches loosing it original shine,the object is wrecked and he is in jail,2
car,scratch,the object is wrecked and he is in jail,a object is dropped into a dirty bucket,the paint on the object is damaged due to a scratch,a object is dropped into a dirty bucket,2
car,scratch,the appearance of the object has been altered,a object is dropped into a dirty bucket,the object is wrecked and he is in jail,a object is dropped into a dirty bucket,0
hair,shave,object becomes cooked is now firmer and edible,the object is shortened by a sharp blade,the object is coiled around a finger,object becomes cooked is now firmer and edible,1
hair,shave,object becomes cooked is now firmer and edible,object is being removed,the object is coiled around a finger,object becomes cooked is now firmer and edible,1
hair,shave,the object separates from the head,object becomes cooked is now firmer and edible,the object is coiled around a finger,object becomes cooked is now firmer and edible,0
hair,shave,the object is removed from the body,object becomes cooked is now firmer and edible,object becomes cooked is now firmer and edible,the object is coiled around a finger,0
hair,shave,object is cut very short,the object is coiled around a finger,object becomes cooked is now firmer and edible,object becomes cooked is now firmer and edible,0
hair,shave,the object is buzzed with a razor,object becomes cooked is now firmer and edible,the object is coiled around a finger,object becomes cooked is now firmer and edible,0
hair,shave,the object was removed completely,the object is coiled around a finger,object becomes cooked is now firmer and edible,object becomes cooked is now firmer and edible,0
hair,shave,object becomes cooked is now firmer and edible,the object is coiled around a finger,object becomes cooked is now firmer and edible,the object is removed to make the area smooth,3
hair,shave,the object is coiled around a finger,the object is removed from the head,object becomes cooked is now firmer and edible,object becomes cooked is now firmer and edible,1
window,shut,the object is no longer shut so air from outside can enter,an object is heated in an oven or on a stove to make it ready to eat,the object is closed allowing no outside air to enter,an object is heated in an oven or on a stove to make it ready to eat,2
window,shut,the object is no longer shut so air from outside can enter,the object is changed from an open to a close state,an object is heated in an oven or on a stove to make it ready to eat,an object is heated in an oven or on a stove to make it ready to eat,1
window,shut,an object is heated in an oven or on a stove to make it ready to eat,close the object so there are no drafts,an object is heated in an oven or on a stove to make it ready to eat,the object is no longer shut so air from outside can enter,1
window,shut,the object is no longer shut so air from outside can enter,an object is heated in an oven or on a stove to make it ready to eat,the object was moved from open to a closed position,an object is heated in an oven or on a stove to make it ready to eat,2
window,shut,the object was shut,an object is heated in an oven or on a stove to make it ready to eat,the object is no longer shut so air from outside can enter,an object is heated in an oven or on a stove to make it ready to eat,0
window,shut,an object is heated in an oven or on a stove to make it ready to eat,the object is closed from its open position and prevents air from leaving or coming in,the object is no longer shut so air from outside can enter,an object is heated in an oven or on a stove to make it ready to eat,1
window,shut,the object needs to be shut to make it closed,an object is heated in an oven or on a stove to make it ready to eat,the object is no longer shut so air from outside can enter,an object is heated in an oven or on a stove to make it ready to eat,0
window,shut,the object is opposite of being open,the object is no longer shut so air from outside can enter,an object is heated in an oven or on a stove to make it ready to eat,an object is heated in an oven or on a stove to make it ready to eat,0
window,shut,the object changes position from open to close in a rapid or strong movement,the object is no longer shut so air from outside can enter,an object is heated in an oven or on a stove to make it ready to eat,an object is heated in an oven or on a stove to make it ready to eat,0
knee,skin,her object is bleeding and dirty,the objects will be in a pile,the objects will be in a pile,the objects will be in a pile,0
knee,skin,the objects will be in a pile,the objects will be in a pile,there is an abrasion of the skin on the object,the objects will be in a pile,2
knee,skin,the objects will be in a pile,the objects will be in a pile,the skin on her object was peeled,the objects will be in a pile,2
knee,skin,the objects will be in a pile,the objects will be in a pile,the objects will be in a pile,the object begins to bleed slightly,3
knee,skin,the objects will be in a pile,her object now has an abrasion,the objects will be in a pile,the objects will be in a pile,1
knee,skin,the objects will be in a pile,the objects will be in a pile,the object was skinned causing an injury,the objects will be in a pile,2
knee,skin,the objects will be in a pile,the objects will be in a pile,the objects will be in a pile,the object loses some skin and is reddish and bloody,3
knee,skin,the objects will be in a pile,the objects will be in a pile,the objects will be in a pile,the object is rubbed along a rough surface in a way that causes abrasion and bleeding of the skin,3
onion,slice,object becomes cooked is now firmer and edible,the object is divided into multiple pieces,the object is divided into multiple pieces,the object is being exposed to high heat,1
onion,slice,the object is cut into pieces,object becomes cooked is now firmer and edible,the object is divided into multiple pieces,the object is being exposed to high heat,0
onion,slice,object becomes cooked is now firmer and edible,the object is cut into pieces with a knife,the object is being exposed to high heat,the object is divided into multiple pieces,1
onion,slice,object becomes cooked is now firmer and edible,the object is divided into multiple pieces,an object is cut into multiple smaller pieces,the object is being exposed to high heat,2
onion,slice,the object is cut into smaller pieces,object becomes cooked is now firmer and edible,the object is divided into multiple pieces,the object is being exposed to high heat,0
onion,slice,the object is divided into multiple pieces,the object is sliced into many pieces,the object is being exposed to high heat,object becomes cooked is now firmer and edible,1
onion,slice,the object is divided into multiple pieces,the object is made into multiple pieces,the object is being exposed to high heat,object becomes cooked is now firmer and edible,1
onion,slice,the object is divided into multiple pieces,the object is being exposed to high heat,an object is split into smaller pieces,object becomes cooked is now firmer and edible,2
potato,slice,the object skin is taken off,the object is divided into multiple pieces,the object is warmed for eating,the object is cut into many uniform pieces,1
potato,slice,the object is divided into many pieces,the object is cut into many uniform pieces,the object skin is taken off,the object is warmed for eating,0
potato,slice,the object is warmed for eating,the object is cut into many uniform pieces,the object is divided into multiple pieces,the object skin is taken off,2
potato,slice,the object is divided into thin flat pieces using a sharp knife,the object skin is taken off,the object is warmed for eating,the object is cut into many uniform pieces,0
potato,slice,the object is divided into pieces,the object skin is taken off,the object is warmed for eating,the object is cut into many uniform pieces,0
potato,slice,the object skin is taken off,the object is warmed for eating,the object is cut into many uniform pieces,the object is divided into smaller pieces,3
potato,slice,the object skin is taken off,the object is divided into many pieces,the object is warmed for eating,the object is cut into many uniform pieces,1
potato,slice,a object is divided into smaller pieces,the object is cut into many uniform pieces,the object skin is taken off,the object is warmed for eating,0
potato,slice,the object is warmed for eating,the object is cut into many uniform pieces,the object is cut into pieces,the object skin is taken off,2
door,smash,the object will be broken,the object is removed from the body,the object is being shut,the object is removed from the body,0
door,smash,the object is removed from the body,the object is busted through,the object is removed from the body,the object is being shut,1
door,smash,the object is removed from the body,the object is being shut,the object is removed from the body,the object is destroyed so it can be entered,3
door,smash,the object falls down,the object is removed from the body,the object is removed from the body,the object is being shut,0
door,smash,the object is being shut,the object is removed from the body,the object is broken in,the object is removed from the body,2
door,smash,the object is removed from the body,the object is removed from the body,the object is being shut,the object is violently stricken,3
door,smash,the object is being shut,the object is opened violently,the object is removed from the body,the object is removed from the body,1
door,smash,a object is destroyed,the object is removed from the body,the object is removed from the body,the object is being shut,0
door,smash,the object is removed from the body,the object is removed from the body,the object is destroyed into pieces,the object is being shut,2
hair,soak,object becomes cooked is now firmer and edible,object becomes cooked is now firmer and edible,the object is kinked up,the object is made wet with a liquid,3
hair,soak,object becomes cooked is now firmer and edible,object becomes cooked is now firmer and edible,the object is kinked up,object is thoroughly wet with water,3
hair,soak,object becomes cooked is now firmer and edible,the object is kinked up,object becomes cooked is now firmer and edible,object becomes wet,3
hair,soak,object becomes cooked is now firmer and edible,the object is kinked up,object becomes cooked is now firmer and edible,the object will be wet in a liquid,3
hair,soak,the object is kinked up,object becomes cooked is now firmer and edible,the object is very wet,object becomes cooked is now firmer and edible,2
hair,soak,the object is kinked up,object becomes cooked is now firmer and edible,object becomes cooked is now firmer and edible,before getting a object cut you should soak your object,3
hair,soak,object becomes cooked is now firmer and edible,object is submerged in water,object becomes cooked is now firmer and edible,the object is kinked up,1
hair,soak,the object is getting wet,the object is kinked up,object becomes cooked is now firmer and edible,object becomes cooked is now firmer and edible,0
hair,soak,object becomes cooked is now firmer and edible,the object is kinked up,the object is dipped in a body of water,object becomes cooked is now firmer and edible,2
hair,soak,my object has become really wet,object becomes cooked is now firmer and edible,the object is kinked up,object becomes cooked is now firmer and edible,0
coffee,spill,the objects will be in a pile,the object once in a container of some sort has left said container to fall onto any nearby surfaces,the objects will be in a pile,the objects will be in a pile,1
coffee,spill,the objects will be in a pile,the objects will be in a pile,my shirt is wet and discolored,the objects will be in a pile,2
coffee,spill,the object exits the container and falls onto the shirt,the objects will be in a pile,the objects will be in a pile,the objects will be in a pile,0
coffee,spill,the objects will be in a pile,the objects will be in a pile,the object spread all over his shirt and made it dirty,the objects will be in a pile,2
coffee,spill,object went from it intended location in a cup to a shirt,the objects will be in a pile,the objects will be in a pile,the objects will be in a pile,0
coffee,spill,the objects will be in a pile,the objects will be in a pile,the object created a mess and stained my shirt,the objects will be in a pile,2
coffee,spill,the objects will be in a pile,object is spilled on my shirt,the objects will be in a pile,the objects will be in a pile,1
tree,split,the object will be in someones hands or bag,the object has fallen to the ground,set object on fire,the object will be in someones hands or bag,1
tree,split,the object was broken in half,the object will be in someones hands or bag,the object will be in someones hands or bag,set object on fire,0
tree,split,set object on fire,a object wood is separated into smaller pieces,the object will be in someones hands or bag,the object will be in someones hands or bag,1
tree,split,the object will be in someones hands or bag,set object on fire,the object will be in someones hands or bag,the object is divided into parts,3
tree,split,the object falls into pieces,the object will be in someones hands or bag,the object will be in someones hands or bag,set object on fire,0
tree,split,the object will be in someones hands or bag,the object is made into smaller parts,set object on fire,the object will be in someones hands or bag,1
tree,split,the object will be in someones hands or bag,set object on fire,a object has been cut down the middle,the object will be in someones hands or bag,2
tree,split,the object is divided into pieces,set object on fire,the object will be in someones hands or bag,the object will be in someones hands or bag,0
tree,split,the object will be in someones hands or bag,the object is cut in two,set object on fire,the object will be in someones hands or bag,1
bottle,squeeze,a object is dropped into a dirty bucket,the object has force applied to it and the contents come out,the doctor writes the word poison on a object to insure everybody can read it and be aware of it,a object is dropped into a dirty bucket,1
bottle,squeeze,the doctor writes the word poison on a object to insure everybody can read it and be aware of it,a object is dropped into a dirty bucket,in order to empty out the object you need to squeeze it,a object is dropped into a dirty bucket,2
bottle,squeeze,a object is dropped into a dirty bucket,a grip is tightening on a object,a object is dropped into a dirty bucket,the doctor writes the word poison on a object to insure everybody can read it and be aware of it,1
bottle,squeeze,the object is pressed from opposing sides,the doctor writes the word poison on a object to insure everybody can read it and be aware of it,a object is dropped into a dirty bucket,a object is dropped into a dirty bucket,0
bottle,squeeze,the doctor writes the word poison on a object to insure everybody can read it and be aware of it,a object is dropped into a dirty bucket,a object is dropped into a dirty bucket,a object is pressed together by force,3
bottle,squeeze,a object is dropped into a dirty bucket,a object is dropped into a dirty bucket,the doctor writes the word poison on a object to insure everybody can read it and be aware of it,the object gets smaller,3
bottle,squeeze,the doctor writes the word poison on a object to insure everybody can read it and be aware of it,a person squeezes on a object and the contents squirt out,a object is dropped into a dirty bucket,a object is dropped into a dirty bucket,1
bottle,squeeze,a object is dropped into a dirty bucket,a object is dropped into a dirty bucket,the contents of the object are extracted,the doctor writes the word poison on a object to insure everybody can read it and be aware of it,2
bottle,squeeze,a object is dropped into a dirty bucket,the doctor writes the word poison on a object to insure everybody can read it and be aware of it,something comes out of the object,a object is dropped into a dirty bucket,2
shirt,stain,the object is discolored by a foreign substance,the object is hanging in the closet,the object is cut in two,the object is cut in two,0
shirt,stain,the object is hanging in the closet,the object is cut in two,a object color is ruined,the object is cut in two,2
shirt,stain,the object is hanging in the closet,the object is cut in two,the object is cut in two,something gets into the object that will not come off,3
shirt,stain,the object is cut in two,the object is cut in two,the object is hanging in the closet,a object has gotten a blemish,3
shirt,stain,to make the object a different color than what it originally was,the object is cut in two,the object is cut in two,the object is hanging in the closet,0
shirt,stain,the object is hanging in the closet,the object has some residue pressed on it,the object is cut in two,the object is cut in two,1
shirt,stain,the object is cut in two,the object is cut in two,the object is hanging in the closet,a object is dropped into a dirty bucket,3
shirt,stain,the object is hanging in the closet,the object is cut in two,the object has a mark in it that wont come out easily,the object is cut in two,2
soup,stir,the object has its skin removed,the object has its skin removed,the object is being mixed together,the object has its skin removed,2
soup,stir,the object has its skin removed,the object has its skin removed,the object has its skin removed,object is swirled around to mix the ingredients,3
soup,stir,the object has its skin removed,the object is moved around so it heats and cooks evenly,the object has its skin removed,the object has its skin removed,1
soup,stir,the object has its skin removed,the object has its skin removed,the temperature is more evenly distributed,the object has its skin removed,2
soup,stir,the object has its skin removed,the object has its skin removed,the object has its skin removed,the object is swirled around,3
soup,stir,object is stirred in a whirpool manner mixing everything together,the object has its skin removed,the object has its skin removed,the object has its skin removed,0
soup,stir,the object has its skin removed,the object has its skin removed,object is being displaced and mixed in a bowl,the object has its skin removed,2
soup,stir,the object has its skin removed,the object has part of it body being swirled,the object has its skin removed,the object has its skin removed,1
soup,stir,the object has its skin removed,the object has its skin removed,the object has its skin removed,the object is well mixed,3
tree,strip,the object will be in someones hands or bag,set object on fire,the bark is being taken off the object,the object will be in someones hands or bag,2
tree,strip,set object on fire,the object will be in someones hands or bag,the object will be in someones hands or bag,the object will be without branches,3
tree,strip,set object on fire,the object is denuded of its bark,the object will be in someones hands or bag,the object will be in someones hands or bag,1
tree,strip,the object will be in someones hands or bag,set object on fire,branches are falling from the object,the object will be in someones hands or bag,2
tree,strip,the object will be in someones hands or bag,set object on fire,bark is removed from the object,the object will be in someones hands or bag,2
tree,strip,the object will be in someones hands or bag,the object will be in someones hands or bag,remove the bark from the object,set object on fire,2
tree,strip,the object will be in someones hands or bag,set object on fire,the object is divided into pieces,the object will be in someones hands or bag,2
tree,strip,set object on fire,the object will be in someones hands or bag,remove the bark of a object,the object will be in someones hands or bag,2
paper,tear,the object becomes shaped like a coil,the object is now divided into two separate sides,the object is ripped,the object divides into two torn sections,3
paper,tear,the object becomes shaped like a coil,the object is ripped using your fingers,the object is now divided into two separate sides,the object is ripped,1
paper,tear,the object is now divided into two separate sides,the object is ripped,the object is ripped,the object becomes shaped like a coil,1
paper,tear,the object becomes shaped like a coil,the object is now divided into two separate sides,object is torn into smaller pieces,the object is ripped,2
paper,tear,the object becomes shaped like a coil,he did not need the object so he tears it up,the object is ripped,the object is now divided into two separate sides,1
paper,tear,the object becomes shaped like a coil,the object is now divided into two separate sides,the object is ripped,the object gave me a object cut,3
paper,tear,the object is now divided into two separate sides,the object becomes shaped like a coil,the object is ripped,the object is being ripped into pieces,3
paper,tear,the object is ripped,the object is now divided into two separate sides,the object is ripped into smaller pieces,the object becomes shaped like a coil,2
paper,tear,the object is broken into many pieces,the object is ripped,the object becomes shaped like a coil,the object is now divided into two separate sides,0
paper,tear,the object is ripped,the object is now divided into two separate sides,the object becomes shaped like a coil,the object is ripped,0
baseball,throw,the ball is moved through space due to energy produced by a motion of the arm of the thrower,the object flies in the air,the object is flying in the air,the object becomes shaped like a coil,0
baseball,throw,the object is flying in the air,the object becomes shaped like a coil,the object flies in the air,the ball flew through the air via human motion,3
baseball,throw,the object becomes shaped like a coil,the object is flying in the air,the ball is now metres from the starting spot,the object flies in the air,2
baseball,throw,the object is flying in the air,the ball leaves the persons hand and moves through the air meters,the object flies in the air,the object becomes shaped like a coil,1
baseball,throw,the object becomes shaped like a coil,the object is flying in the air,the ball moved from the man hand to a position meters away,the object flies in the air,2
baseball,throw,the object flies in the air,the object is flying in the air,the ball moves from its initial stationary location to then being propelled upwards and or forwards via the physical action of an individual,the object becomes shaped like a coil,2
baseball,throw,the object becomes shaped like a coil,the object is flying in the air,the object flies in the air,the ball was flung from a hand into open space,3
baseball,throw,the object is flying in the air,the ball is projected into the air and lands metres away,the object flies in the air,the object becomes shaped like a coil,1
baseball,throw,the object is flying in the air,the object flies in the air,the object becomes shaped like a coil,to release and direct the ball to a given location,3
football,throw,the object flies away,the object is sliced into pieces,the ball is moved through space due to energy produced by a motion of the arm of the thrower,the object is flying in the air,3
football,throw,the ball is moved through space due to energy produced by a motion of the arm of the thrower,the object flies away,the object soars through the air,the object is sliced into pieces,2
football,throw,the object flies away,the ball is moved through space due to energy produced by a motion of the arm of the thrower,the object is sliced into pieces,the object is flying in the air,3
football,throw,the object flies away,the object is flying in the air,the ball is moved through space due to energy produced by a motion of the arm of the thrower,the object is sliced into pieces,1
football,throw,the object flies away,the object has llown over the fence,the object is sliced into pieces,the ball is moved through space due to energy produced by a motion of the arm of the thrower,1
football,throw,the object flies away,the ball is moved through space due to energy produced by a motion of the arm of the thrower,the object is sliced into pieces,a object is tossed into the air,3
football,throw,the object is sliced into pieces,the ball is moved through space due to energy produced by a motion of the arm of the thrower,the object is flying in the air,the object flies away,2
football,throw,the ball is moved through space due to energy produced by a motion of the arm of the thrower,a object is hurled through the air,the object is sliced into pieces,the object flies away,1
football,throw,the object is flying through the air,the ball is moved through space due to energy produced by a motion of the arm of the thrower,the object flies away,the object is sliced into pieces,0
football,throw,the object flies away,the ball is moved through space due to energy produced by a motion of the arm of the thrower,the object is sliced into pieces,the object is flying throw the air,3
shoe,tie,the object has its skin removed,the object has its skin removed,the object is being fastened securely,the object has its skin removed,2
shoe,tie,the object has its skin removed,the object has its skin removed,the object has its skin removed,the objectlace is placed together in a way to secure the object,3
shoe,tie,object is secure to the feet,the object has its skin removed,the object has its skin removed,the object has its skin removed,0
shoe,tie,the object has its skin removed,the object has its skin removed,the laces on a object are knotted together to fasten it,the object has its skin removed,2
shoe,tie,the object has its skin removed,the object has its skin removed,the object has its skin removed,objectlace is in a uniformed fashion so to keep the object fitting snuggly,3
shoe,tie,the object has its skin removed,the object has its skin removed,the object has its skin removed,a object laces are secured in a knot,3
shoe,tie,the object has its skin removed,the object has its skin removed,the objects are secured to the body by use of the laces being twisted in such a fashion that they form a knot,the object has its skin removed,2
shoe,tie,the object has its skin removed,the object has its skin removed,the object has its skin removed,the object laces are knotted,3
shoe,tie,the object has its skin removed,the object is now on my feet,the object has its skin removed,the object has its skin removed,1
hair,trim,object is cut short,object becomes cooked is now firmer and edible,the object is removed from the head,object becomes cooked is now firmer and edible,0
hair,trim,object becomes cooked is now firmer and edible,object becomes cooked is now firmer and edible,the object is shortened,the object is removed from the head,2
hair,trim,the object is removed from the head,the object becomes shorter in length,object becomes cooked is now firmer and edible,object becomes cooked is now firmer and edible,1
hair,trim,the object is cut,the object is removed from the head,object becomes cooked is now firmer and edible,object becomes cooked is now firmer and edible,0
hair,trim,object becomes cooked is now firmer and edible,the object is cut slightly shorter,the object is removed from the head,object becomes cooked is now firmer and edible,1
hair,trim,object becomes cooked is now firmer and edible,the object is being cut shorter,object becomes cooked is now firmer and edible,the object is removed from the head,1
hair,trim,end pieces of object fall away,object becomes cooked is now firmer and edible,object becomes cooked is now firmer and edible,the object is removed from the head,0
hair,twist,the object is coiled around a finger,the object is made wet with a liquid,object becomes cooked is now firmer and edible,object becomes cooked is now firmer and edible,0
hair,twist,the object is kinked up,object becomes cooked is now firmer and edible,the object is made wet with a liquid,object becomes cooked is now firmer and edible,0
hair,twist,the object is made wet with a liquid,object is twirled forcibly around an item usually a finger,object becomes cooked is now firmer and edible,object becomes cooked is now firmer and edible,1
hair,twist,the object is made wet with a liquid,the object is spiraled together,object becomes cooked is now firmer and edible,object becomes cooked is now firmer and edible,1
hair,twist,object becomes cooked is now firmer and edible,the object is twirled around a finger,object becomes cooked is now firmer and edible,the object is made wet with a liquid,1
hair,twist,the object gets tangled up,the object is made wet with a liquid,object becomes cooked is now firmer and edible,object becomes cooked is now firmer and edible,0
box,wrap,the object is covered with something,the object has its skin removed,the object has its skin removed,the object has its skin removed,0
box,wrap,the object is covered in wrapping paper,the object has its skin removed,the object has its skin removed,the object has its skin removed,0
box,wrap,the object has its skin removed,the object has its skin removed,the object has its skin removed,the object is covered in paper,3
box,wrap,the object has its skin removed,the object has its skin removed,the object is tightly covered by another material,the object has its skin removed,2
box,wrap,the object has its skin removed,the object has its skin removed,the object is secured,the object has its skin removed,2
box,wrap,a object is surrounded by paper,the object has its skin removed,the object has its skin removed,the object has its skin removed,0
box,wrap,the object will be wrapped in something,the object has its skin removed,the object has its skin removed,the object has its skin removed,0
box,wrap,the object is covered in something to obscure it,the object has its skin removed,the object has its skin removed,the object has its skin removed,0
box,wrap,the object has its skin removed,the object has its skin removed,the object has its skin removed,a object is covered in paper,3
cup,break,the object was laying on the ground,the object was laying on the ground,the object is shattering,the object is divided into pieces,3
cup,break,the object is separating into pieces,the object was laying on the ground,the object was laying on the ground,the object is shattering,0
cup,break,the object divides into random broken sections,the object is shattering,the object was laying on the ground,the object was laying on the ground,0
cup,break,the object is shattering,the object will shatter into separate pieces,the object was laying on the ground,the object was laying on the ground,1
cup,break,the object was laying on the ground,the object is made into smaller pieces,the object is shattering,the object was laying on the ground,1
cup,break,the object was laying on the ground,the object is shattered into pieces,the object was laying on the ground,the object is shattering,1
cup,break,the object is shattering,the object is dropped and shattered,the object was laying on the ground,the object was laying on the ground,1
cup,break,the object fall from the table and broke in pieces,the object was laying on the ground,the object was laying on the ground,the object is shattering,0
cup,break,the object was laying on the ground,the object is split into pieces,the object was laying on the ground,the object is shattering,1
tree,burn,the object is being mixed together,the bark is being taken off the object,the object is reduced to ash and cinders,a object is set aflame,2
tree,burn,the object is being mixed together,a object is set aflame,the bark is being taken off the object,set object on fire,3
tree,burn,a object is set aflame,one should never burn a object,the bark is being taken off the object,the object is being mixed together,1
tree,burn,the bark is being taken off the object,the object is set on fire,the object is being mixed together,a object is set aflame,1
